Agency,Topic,examples
Board of Governors of the Federal Reserve System,Education & Workforce,Institutional Profile Dashboard
Board of Governors of the Federal Reserve System,Government Services (includes Benefits and Service Delivery),Earnings Calls Search Tool; Proposals and Public Comments; Comment Review System
Board of Governors of the Federal Reserve System,Law & Justice,Body Worn Cameras Data Management System
Board of Governors of the Federal Reserve System,Mission-Enabling,Document Organization Tool; Incident Reporting Pattern Detection; Consumer Related Information Classification
Board of Governors of the Federal Reserve System,Other,Economic Trend Modeling; PDF Optical Character Recognition (Text); PDF Optical Character Recognition (Images)
Commodity Futures Trading Commission,Law & Justice,Spoofing Detection AI/ML Project
Commodity Futures Trading Commission,Mission-Enabling,Anomaly Detection for Data Quality; Stress Testing Scenarios with Deep Learning; MPD Entity Risk Modeling
Consumer Financial Protection Bureau,Law & Justice,Document Review Tool
Consumer Financial Protection Bureau,Mission-Enabling,Complaint Summarization; Ask Complaints; Complaint Narrative Redaction
Department of Agriculture,Education & Workforce,IOL Focus Group and Survey Sensemaking
Department of Agriculture,Emergency Management,U.S. Poultry Operations and Populations Dataset; Equine Operations and Populations Dataset for the U.S.; FuelCast
Department of Agriculture,Energy & the Environment,Ecosystem Management Decision Support System (EMDS); Cross-Laminated Timber (CLT) Knowledge Database; TreeMap and FuelMap (all versions)
Department of Agriculture,Government Services (includes Benefits and Service Delivery),Retailer Receipt Analysis; Artificial Intelligence SPAM Mitigation Project; Nutrition Education & Local Access Dashboard
Department of Agriculture,Law & Justice,Cover Crop Mapping; Planting Date Detection; Acreage and Crop Type Validation
Department of Agriculture,Mission-Enabling,Repair Spend; Predictive Modeling of Invasive Pest Species; Democratizing Data
Department of Agriculture,Other,Cropland Data Layer; List Frame Deadwood Identification; Census Propensity Scores via ML
Department of Agriculture,Science & Space,ARS Project Mapping; NAL Automated Indexing; Detection of Pre-symptomatic HLB Infected Citrus
Department of Agriculture,Transportation,Predictive flood modeling
Department of Commerce,Diplomacy & Trade,Global Business Navigator Chatbot; Generative AI Tools Pilot - Global Markets
